1128,KANA DIGITEKH PRINTING SOLUTIONS (PVT),Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,OffSup,Low,0
1129,ENVIRONMENTAL MANAGEMENT AGENCY,Zimbabwe,Africa & Middle East,ZWE,Property,Environmental Consulting Services,R&M,Low,0
1130,APPOINTMENT CORPORATE WEAR P/L,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,Uniform,Low,0
1131,XIMEX MANAGEMENT SERVICES (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rent,Low,0
1132,BRODCASTING AUTHORITY OF ZIMBABWE,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1133,DIMENSION DATA,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,T&N-Equip,High,0
1134,Dakuma Investments (Pvt) Ltd,Zimbabwe,Africa & Middle East,ZWE,Travel,Travel Agencies,Hotel&Servapart,Low,0
1135,Hammer and Tongues Real Estate (Private),Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Management,Low,0
1136,Mace (Ireland) Limited t/a Mace Promotio,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,DistMkgServ,Low,0
1137,CA Inc. Lockbox,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,SWAppli,Low,0
1138,KAMATECH PROJECTS(PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Management,Low,0
1139,City of Harare City Health Department,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1140,CM & A (Pvt) Ltd,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,Media,Low,0
1141,Tranland Investments (Pvt) Ltd,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,Media,Low,0
1142,FIRST MUTUAL PROPERTIES LIMITED,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1143,Min Taxis (Private) Limited,Zimbabwe,Africa & Middle East,ZWE,Travel,Travel Agencies,Others,Medium,0
1144,Creative Systems (Private) Limited,Zimbabwe,Africa & Middle East,ZWE,Property,All Other Professional~ Scientific~ and Technical Services,Fitout&Improv,Medium,0
1145,John Pocock & Company (Pvt) Ltd,Zimbabwe,Africa & Middle East,ZWE,Professional Services,Real estate activities with own or leased property,CrAgencies,Low,0
1146,Manokore Attorneys,Zimbabwe,Africa & Middle East,ZWE,Professional Services,Management consultancy activities,MgtConsult,Low,0
1147,Pearl Stationery Manufacturing (Pvt) Ltd,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,OffSup,Low,0
1148,Unihold Investments (Private) Limited,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,OffSup,Low,0
1149,TM Ribbon Suppliers(Private) Limited,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,OffSup,Low,0
1150,Silver Cab (Private) Limited,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Others,Low,0
1151,Metro-Sol (Private) Limited,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,OffSup,Medium,0
1152,Federated Properties (1992) (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Parking,Low,0
1153,Enermax(Private) Limited,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Management,Medium,0
1154,Electronic Documents Centre L.L.C.,Zimbabwe,Africa & Middle East,ARE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,PrintProdt,Low,0
1155,Electronic Documents Centre L.L.C.,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,PrintProdt,Low,0
1156,Genesis Travel And Tours (Pvt) Ltd,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,OffSup,Low,0
